#  JMA2001 + Density + Attenuation
#
#  The original JMA2001 velocity strucuture model (Ueno, et al., 2002)
#  used in hypocentral determination by Japan Meteorological Agency 
#  contains depth, P-wave velocity adn S-wave velocity.
#  Mass density and intrinsic attenuation factors are obtained from 
#  empirical relationships summarized in Brocher (2008; J Seismol.)
#  Note that the velocities of deep structure (>270 km for density and
#  >420 km for attenuation) exceeds the limiation of the empirical formula.
#  Please use it with caution for deep-focus earthquake. 
#
#   depth(km)   rho(g/cc)   vp(km/s)    vs(km/s)       Qp       Qs
# ------------------------------------------------------------------
    138.0000      3.3171      8.0730      4.5060   1385.8835    692.9418
    138.5000      3.3178      8.0750      4.5070   1386.6385    693.3192
    139.0000      3.3182      8.0760      4.5070   1386.6385    693.3192
    139.5000      3.3189      8.0780      4.5080   1387.3938    693.6969
    140.0000      3.3193      8.0790      4.5080   1387.3938    693.6969
    140.5000      3.3200      8.0810      4.5090   1388.1495    694.0747
    141.0000      3.3207      8.0830      4.5100   1388.9055    694.4527
    141.5000      3.3214      8.0850      4.5110   1389.6618    694.8309
    142.0000      3.3218      8.0860      4.5120   1390.4185    695.2093
    142.5000      3.3225      8.0880      4.5130   1391.1756    695.5878
    143.0000      3.3232      8.0900      4.5140   1391.9329    695.9665
    143.5000      3.3236      8.0910      4.5140   1391.9329    695.9665
    144.0000      3.3243      8.0930      4.5150   1392.6907    696.3453
    144.5000      3.3250      8.0950      4.5160   1393.4487    696.7244
    145.0000      3.3254      8.0960      4.5170   1394.2072    697.1036
    145.5000      3.3261      8.0980      4.5180   1394.9659    697.4830
    146.0000      3.3265      8.0990      4.5180   1394.9659    697.4830
    146.5000      3.3272      8.1010      4.5190   1395.7250    697.8625
    147.0000      3.3276      8.1020      4.5190   1395.7250    697.8625
    147.5000      3.3283      8.1040      4.5200   1396.4845    698.2422
    148.0000      3.3286      8.1050      4.5210   1397.2443    698.6221
    148.5000      3.3294      8.1070      4.5220   1398.0044    699.0022
    149.0000      3.3297      8.1080      4.5220   1398.0044    699.0022
    149.5000      3.3304      8.1100      4.5230   1398.7649    699.3825
    150.0000      3.3308      8.1110      4.5240   1399.5257    699.7629
    150.5000      3.3315      8.1130      4.5250   1400.2869    700.1435
    151.0000      3.3319      8.1140      4.5250   1400.2869    700.1435
    151.5000      3.3326      8.1160      4.5260   1401.0484    700.5242
    152.0000      3.3330      8.1170      4.5270   1401.8103    700.9051
    152.5000      3.3333      8.1180      4.5270   1401.8103    700.9051
    153.0000      3.3341      8.1200      4.5280   1402.5725    701.2863
    153.5000      3.3344      8.1210      4.5280   1402.5725    701.2863
    154.0000      3.3352      8.1230      4.5290   1403.3351    701.6675
    154.5000      3.3355      8.1240      4.5300   1404.0980    702.0490
    155.0000      3.3362      8.1260      4.5310   1404.8612    702.4306
    155.5000      3.3366      8.1270      4.5310   1404.8612    702.4306
    156.0000      3.3370      8.1280      4.5320   1405.6248    702.8124
    156.5000      3.3377      8.1300      4.5330   1406.3888    703.1944
    157.0000      3.3381      8.1310      4.5330   1406.3888    703.1944
    157.5000      3.3388      8.1330      4.5340   1407.1530    703.5765
    158.0000      3.3391      8.1340      4.5350   1407.9177    703.9588
    158.5000      3.3395      8.1350      4.5350   1407.9177    703.9588
    159.0000      3.3402      8.1370      4.5360   1408.6827    704.3413
    159.5000      3.3406      8.1380      4.5360   1408.6827    704.3413
    160.0000      3.3410      8.1390      4.5370   1409.4480    704.7240
    160.5000      3.3417      8.1410      4.5380   1410.2137    705.1068
    161.0000      3.3421      8.1420      4.5380   1410.2137    705.1068
    161.5000      3.3424      8.1430      4.5390   1410.9797    705.4898
    162.0000      3.3428      8.1440      4.5390   1410.9797    705.4898
    162.5000      3.3431      8.1450      4.5400   1411.7461    705.8730
    163.0000      3.3435      8.1460      4.5400   1411.7461    705.8730
    163.5000      3.3439      8.1470      4.5400   1411.7461    705.8730
    164.0000      3.3446      8.1490      4.5410   1412.5128    706.2564
    164.5000      3.3450      8.1500      4.5420   1413.2798    706.6399
    165.0000      3.3453      8.1510      4.5420   1413.2798    706.6399
    165.5000      3.3461      8.1530      4.5430   1414.0472    707.0236
    166.0000      3.3464      8.1540      4.5440   1414.8150    707.4075
    166.5000      3.3468      8.1550      4.5440   1414.8150    707.4075
    167.0000      3.3475      8.1570      4.5450   1415.5831    707.7915
    167.5000      3.3479      8.1580      4.5450   1415.5831    707.7915
    168.0000      3.3486      8.1600      4.5460   1416.3515    708.1758
    168.5000      3.3490      8.1610      4.5470   1417.1203    708.5602
    169.0000      3.3497      8.1630      4.5480   1417.8895    708.9447
    169.5000      3.3501      8.1640      4.5480   1417.8895    708.9447
    170.0000      3.3508      8.1660      4.5490   1418.6590    709.3295
    170.5000      3.3512      8.1670      4.5500   1419.4288    709.7144
    171.0000      3.3519      8.1690      4.5510   1420.1990    710.0995
    171.5000      3.3526      8.1710      4.5520   1420.9695    710.4848
    172.0000      3.3530      8.1720      4.5520   1420.9695    710.4848
    172.5000      3.3537      8.1740      4.5530   1421.7404    710.8702
